City,Cloudiness,Country,Date,Humidity (%),Lat,Lng,Temp (F),Wind Speed (MPH)
Rikitea,36,PF,1533503646,99,-23.12,-134.97,74.88,19.48
Hobart,75,AU,1533502800,81,-42.88,147.33,42.8,5.82
Hilo,90,US,1533498960,74,19.71,-155.08,77.49,5.82
Bambous Virieux,40,MU,1533499200,64,-20.34,57.76,68.0,6.93
Butaritari,76,KI,1533503648,100,3.07,172.79,84.6,4.61
Buin,75,CL,1533499200,23,-33.73,-70.74,62.6,1.92
Vestnes,75,NO,1533502200,87,62.63,7.09,54.23,11.41
Busselton,80,AU,1533503649,100,-33.64,115.35,55.89,8.63
Fairbanks,90,US,1533502680,82,64.84,-147.72,61.16,11.41
Bredasdorp,48,ZA,1533499200,76,-34.53,20.04,50.0,6.93
Fengxian,0,CN,1533503650,90,33.91,106.52,64.44,1.7
Puerto Ayora,75,EC,1533499200,61,-0.74,-90.35,78.8,23.04
Kapaa,75,US,1533498960,74,22.08,-159.32,82.4,17.22
Punta Arenas,75,CL,1533499200,64,-53.16,-70.91,35.6,4.7
Georgetown,75,GY,1533499200,55,6.8,-58.16,89.6,9.17
Paamiut,0,GL,1533503653,97,61.99,-49.67,43.11,0.69
Khatanga,0,RU,1533503653,80,71.98,102.47,54.99,16.24
Hithadhoo,48,MV,1533503654,100,-0.6,73.08,75.33,0.92
Bowen,76,AU,1533499200,93,-20.01,148.25,57.2,4.61
Barrow,44,AR,1533503654,36,-38.31,-60.23,59.94,8.75
Castro,92,CL,1533503655,98,-42.48,-73.76,48.96,6.17
Zhezkazgan,80,KZ,1533503656,45,47.8,67.71,74.97,3.6
Saint-Philippe,1,CA,1533502500,52,45.36,-73.48,87.31,5.82
Arraial do Cabo,40,BR,1533499200,83,-22.97,-42.02,72.46,9.17
Serebryanyy Bor,0,RU,1533503657,87,56.8,124.8,40.5,2.37
Karratha,0,AU,1533503657,38,-20.74,116.85,50.67,14.45
Vaini,92,IN,1533503657,98,15.34,74.49,68.76,9.53
Kruisfontein,0,ZA,1533503658,94,-34.0,24.73,51.93,5.61
Longyearbyen,20,NO,1533502200,75,78.22,15.63,46.4,12.75
Rocha,0,UY,1533503658,75,-34.48,-54.34,53.73,5.61
Bluff,92,AU,1533503659,98,-23.58,149.07,59.04,3.71
Kiunga,76,PG,1533503659,99,-6.12,141.3,71.73,2.37
Ginda,100,IN,1533503659,100,30.69,78.49,60.48,1.7
San Patricio,48,PY,1533503660,67,-26.98,-56.83,60.21,2.15
Mahebourg,40,MU,1533499200,64,-20.41,57.7,68.0,6.93
Ribeira Grande,20,PT,1533499200,60,38.52,-28.7,75.2,9.17
Vao,0,EE,1533503661,73,59.1,26.19,64.53,9.53
Fort Wellington,12,GY,1533503661,97,6.4,-57.6,82.53,9.98
Hermanus,24,ZA,1533503661,84,-34.42,19.24,49.86,8.75
Albany,20,US,1533502440,43,42.65,-73.75,85.89,4.7
Cape Town,75,ZA,1533499200,71,-33.93,18.42,57.2,13.87
Ushuaia,0,AR,1533499200,64,-54.81,-68.31,37.4,5.82
Mayskiy,20,RU,1533499200,64,43.63,44.06,71.6,4.47
Bosaso,20,SO,1533503663,85,11.28,49.18,87.66,4.16
Port Elizabeth,1,US,1533502500,49,39.31,-74.98,89.6,4.7
